location,year,AWARE,"DDD/1,000/day",proportion
Czech Republic,2000,Reserve,0.003,0
Czech Republic,2000,Other,0.001,0
Czech Republic,2001,Access,11.868,0.747
Czech Republic,2001,Watch,4.02,0.253
Czech Republic,2001,Reserve,0.003,0
Czech Republic,2001,Other,0.001,0
Czech Republic,2002,Access,10.711,0.727
Czech Republic,2002,Watch,4.016,0.273
Czech Republic,2002,Reserve,0.004,0
Czech Republic,2002,Other,0,0
Czech Republic,2003,Access,10.768,0.703
Czech Republic,2003,Watch,4.543,0.297
Czech Republic,2003,Reserve,0.004,0
Czech Republic,2003,Other,0.001,0
Czech Republic,2004,Access,10.005,0.669
Czech Republic,2004,Watch,4.956,0.331
Czech Republic,2004,Reserve,0.001,0
Czech Republic,2004,Other,0,0
Czech Republic,2005,Access,10.765,0.646
Czech Republic,2005,Watch,5.898,0.354
Czech Republic,2005,Reserve,0.002,0
Czech Republic,2005,Other,0,0
Czech Republic,2006,Access,10.173,0.66
Czech Republic,2006,Watch,5.236,0.34
Czech Republic,2006,Reserve,0.003,0
Czech Republic,2006,Other,0,0
Czech Republic,2007,Access,10.142,0.639
Czech Republic,2007,Watch,5.734,0.361
Czech Republic,2007,Reserve,0.003,0
Czech Republic,2007,Other,0,0
Czech Republic,2008,Access,9.956,0.61
Czech Republic,2008,Watch,6.346,0.389
Czech Republic,2008,Reserve,0.004,0
Czech Republic,2008,Other,0.008,0.001
Czech Republic,2009,Access,9.89,0.597
Czech Republic,2009,Watch,6.65,0.402
Czech Republic,2009,Reserve,0.007,0
Czech Republic,2009,Other,0.007,0
Czech Republic,2010,Access,9.687,0.609
Czech Republic,2010,Watch,6.207,0.39
Czech Republic,2010,Reserve,0.008,0
